,duokong,code,date
306,0.0,603127,20181128
307,0.0,603127,20181129
308,0.0,603127,20181130
309,0.0,603127,20181203
310,0.0,603127,20181204
311,0.0,603127,20181205
312,0.0,603127,20181206
313,0.0,603127,20181207
314,0.0,603127,20181210
315,0.0,603127,20181211
316,-1.0,603127,20181212
317,1.0,603127,20181213
318,-1.0,603127,20181214
319,0.0,603127,20181217
320,0.0,603127,20181218
321,0.0,603127,20181219
322,0.0,603127,20181220
323,0.0,603127,20181221
324,0.0,603127,20181224
325,0.0,603127,20181225
326,0.0,603127,20181226
327,0.0,603127,20181227
328,0.0,603127,20181228
329,0.0,603127,20190102
330,0.0,603127,20190103
331,0.0,603127,20190104
332,0.0,603127,20190107
333,0.0,603127,20190108
334,0.0,603127,20190109
335,0.0,603127,20190110
336,0.0,603127,20190111
337,0.0,603127,20190114
338,1.0,603127,20190115
339,0.0,603127,20190116
340,0.0,603127,20190117
341,0.0,603127,20190118
342,0.0,603127,20190121
343,0.0,603127,20190122
344,0.0,603127,20190123
345,0.0,603127,20190124
346,0.0,603127,20190125
347,0.0,603127,20190128
348,0.0,603127,20190129
349,0.0,603127,20190130
350,0.0,603127,20190131
351,0.0,603127,20190201
352,0.0,603127,20190211
353,0.0,603127,20190212
354,0.0,603127,20190213
355,0.0,603127,20190214
356,0.0,603127,20190215
357,0.0,603127,20190218
358,0.0,603127,20190219
359,0.0,603127,20190220
360,0.0,603127,20190221
361,0.0,603127,20190222
362,0.0,603127,20190225
363,0.0,603127,20190226
364,0.0,603127,20190227
365,0.0,603127,20190228
366,0.0,603127,20190301
367,0.0,603127,20190304
368,0.0,603127,20190305
369,0.0,603127,20190306
370,0.0,603127,20190307
371,0.0,603127,20190308
372,0.0,603127,20190311
373,0.0,603127,20190312
374,0.0,603127,20190313
375,0.0,603127,20190314
376,0.0,603127,20190315
377,0.0,603127,20190318
378,0.0,603127,20190319
379,0.0,603127,20190320
380,0.0,603127,20190321
381,0.0,603127,20190322
382,-1.0,603127,20190325
383,0.0,603127,20190326
384,0.0,603127,20190327
385,0.0,603127,20190328
386,0.0,603127,20190329
387,0.0,603127,20190401
388,0.0,603127,20190402
389,0.0,603127,20190403
390,0.0,603127,20190404
391,0.0,603127,20190408
392,0.0,603127,20190409
393,0.0,603127,20190410
394,0.0,603127,20190411
395,0.0,603127,20190412
396,0.0,603127,20190415
397,0.0,603127,20190416
398,0.0,603127,20190417
399,0.0,603127,20190418
400,0.0,603127,20190419
401,0.0,603127,20190422
402,1.0,603127,20190423
403,0.0,603127,20190424
404,0.0,603127,20190425
405,-1.0,603127,20190426
406,0.0,603127,20190429
407,0.0,603127,20190430
408,0.0,603127,20190506
409,0.0,603127,20190507
410,0.0,603127,20190508
411,0.0,603127,20190509
412,0.0,603127,20190510
413,0.0,603127,20190513
414,1.0,603127,20190514
415,0.0,603127,20190515
416,0.0,603127,20190516
417,0.0,603127,20190517
418,0.0,603127,20190520
419,0.0,603127,20190521
